id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
154,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,14479,RIBU RUPIAH,2020
155,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,21943,RIBU RUPIAH,2020
156,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,13916,RIBU RUPIAH,2020
157,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,16551,RIBU RUPIAH,2020
158,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,10318,RIBU RUPIAH,2020
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,13440,RIBU RUPIAH,2020
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,7933,RIBU RUPIAH,2020
161,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,15704,RIBU RUPIAH,2020
162,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,7305,RIBU RUPIAH,2020
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,14758,RIBU RUPIAH,2021
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8395,RIBU RUPIAH,2021
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,13007,RIBU RUPIAH,2021
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,6704,RIBU RUPIAH,2021
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,11457,RIBU RUPIAH,2021
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,5042,RIBU RUPIAH,2021
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,13856,RIBU RUPIAH,2021
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,9026,RIBU RUPIAH,2021
171,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,11308,RIBU RUPIAH,2021
172,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,4404,RIBU RUPIAH,2021
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,11657,RIBU RUPIAH,2021
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,5279,RIBU RUPIAH,2021
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,14223,RIBU RUPIAH,2021
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,6370,RIBU RUPIAH,2021
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,13923,RIBU RUPIAH,2021
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,6638,RIBU RUPIAH,2021
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,15614,RIBU RUPIAH,2021
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,5444,RIBU RUPIAH,2021
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,13912,RIBU RUPIAH,2021
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,6284,RIBU RUPIAH,2021
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,13551,RIBU RUPIAH,2021
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,9781,RIBU RUPIAH,2021
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,14487,RIBU RUPIAH,2021
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,7213,RIBU RUPIAH,2021
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,14867,RIBU RUPIAH,2021
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,8500,RIBU RUPIAH,2021
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,17674,RIBU RUPIAH,2021
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,7585,RIBU RUPIAH,2021
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,15510,RIBU RUPIAH,2021
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,9255,RIBU RUPIAH,2021
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,16854,RIBU RUPIAH,2021
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,8419,RIBU RUPIAH,2021
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,12976,RIBU RUPIAH,2021
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,3935,RIBU RUPIAH,2021
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,12819,RIBU RUPIAH,2021
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,7133,RIBU RUPIAH,2021
